branch,cgpa,tenth_percentage,twelfth_percentage,programming_skill,communication_skill,problem_solving,teamwork,leadership,internships,projects,certifications,hackathons,backlogs,resume_score,aptitude_score,coding_score,communication_test,placement_score,placed
IT,7.62,96.1,57.6,3.1,7.6,5.0,5.5,10.0,1,4,2,0,0,64.1,46.4,29.2,76.7,43.2,0
CIVIL,5.91,74.1,69.0,6.0,6.9,4.6,4.9,5.6,0,0,1,0,0,33.1,43.3,55.3,64.3,10.9,0
CSE,8.22,74.0,68.5,6.0,7.4,5.5,10.0,3.8,1,3,2,2,0,71.8,40.3,68.8,83.4,59.1,1
AIML,5.25,54.3,100.0,6.7,5.3,6.9,7.0,4.2,0,2,3,1,0,54.1,57.9,67.0,57.4,44.4,0
MECH,6.56,86.2,87.0,9.8,6.7,7.5,8.0,7.1,0,3,3,0,0,79.0,75.9,87.4,69.7,58.2,1
ECE,6.92,59.9,61.0,6.2,5.0,8.3,7.0,2.6,0,2,3,0,4,62.4,68.5,67.4,58.3,29.5,0
EEE,6.5,60.6,54.6,7.2,2.6,7.2,7.1,6.4,3,0,1,1,0,60.4,48.3,72.0,20.8,36.6,0
CSE,6.58,74.4,58.0,4.0,8.3,2.5,6.9,4.1,0,3,3,0,0,60.1,13.1,44.8,82.7,34.9,0
CSE,9.26,64.7,93.4,7.5,3.8,4.2,5.3,1.8,2,2,1,0,0,73.9,26.3,68.4,35.5,54.8,1
IT,6.26,66.5,57.5,4.9,6.7,5.9,4.7,3.5,0,3,2,0,0,63.7,57.8,51.3,60.6,34.3,0
CSE,9.89,78.6,95.9,6.1,7.1,6.5,7.6,5.6,1,3,2,1,0,78.2,55.0,61.7,76.3,71.5,1
EEE,7.68,88.6,78.1,5.8,7.1,7.8,7.3,8.3,1,3,1,2,2,67.6,50.1,63.1,79.3,52.3,1
MECH,7.3,84.5,71.8,8.1,6.0,6.3,8.4,7.3,1,2,2,2,2,73.3,60.7,87.7,70.0,42.4,0
CSE,7.72,80.3,60.1,3.4,7.0,6.3,8.1,4.9,3,3,3,1,0,79.4,54.9,44.7,71.0,65.1,1
DS,9.98,91.8,91.4,1.4,7.3,6.7,5.8,7.4,0,4,4,1,1,69.8,54.6,17.5,70.0,51.6,1
CSE,6.11,79.5,82.1,5.6,7.8,5.7,8.7,4.8,0,3,1,1,1,50.2,57.9,58.0,86.6,33.0,0
ECE,5.97,71.7,86.7,6.9,9.6,6.4,8.1,2.6,1,3,2,0,0,68.9,49.1,70.6,88.8,51.2,1
ECE,6.37,68.8,71.5,6.3,6.9,8.3,8.0,5.5,2,4,1,0,0,62.6,77.6,69.8,80.5,57.5,1
CSE,7.24,84.6,83.7,8.5,6.6,6.0,10.0,2.5,3,4,2,0,0,91.1,30.6,69.4,67.2,75.6,1
CSE,5.3,64.8,94.3,6.9,4.9,6.1,10.0,7.1,2,2,4,0,0,79.2,43.3,68.3,53.5,43.5,0
IT,7.22,82.2,82.7,4.9,7.3,6.1,8.0,7.1,1,5,2,0,0,81.6,55.4,47.3,70.4,46.5,0
DS,9.06,72.9,61.3,1.3,7.7,8.7,7.8,3.7,1,0,3,1,2,63.3,82.8,17.6,77.4,40.0,0
CSE,7.37,67.9,81.8,5.5,6.2,4.1,8.6,5.8,1,5,2,0,1,78.0,23.0,60.9,58.5,48.2,0
CIVIL,6.88,67.7,84.8,8.1,7.5,9.6,6.1,5.8,1,1,0,0,0,54.6,73.2,81.6,71.2,45.6,0
IT,6.52,89.6,96.8,5.2,6.0,4.0,6.1,7.2,0,2,2,1,0,48.5,33.0,47.8,60.8,25.9,0
IT,8.19,67.7,82.6,6.1,7.7,5.0,8.0,3.0,1,4,2,1,0,72.1,32.1,64.5,76.7,62.3,1
EEE,6.29,74.6,89.3,6.8,8.1,7.6,5.7,6.7,0,1,3,0,1,49.2,58.8,77.1,64.1,47.5,0
ECE,9.23,72.4,83.0,4.0,8.1,8.2,7.9,2.9,1,1,0,2,2,55.2,77.9,46.3,95.8,48.1,0
ECE,9.33,90.7,57.4,7.2,6.7,3.5,7.2,7.1,0,3,1,1,1,71.0,20.0,65.2,77.1,44.2,0
IT,7.48,96.5,85.8,9.3,4.6,4.1,5.7,7.6,1,3,3,0,2,82.1,31.1,75.4,40.4,51.7,1
IT,7.19,88.9,76.6,5.7,5.4,6.7,7.0,4.2,1,0,1,3,0,52.5,56.0,52.1,51.9,38.1,0
CSE,8.33,73.5,100.0,3.7,7.6,10.0,9.0,7.9,0,2,4,0,2,72.6,83.7,59.0,76.1,56.6,1
ECE,8.4,82.1,56.3,5.9,10.0,8.6,7.1,2.4,0,2,2,1,0,56.7,61.6,64.4,100.0,54.3,1
AIML,6.31,67.1,60.3,1.6,5.9,5.7,7.1,7.7,0,2,0,0,0,36.7,44.4,30.7,62.9,17.9,0
IT,6.62,80.5,84.4,6.7,7.3,1.6,7.5,8.4,0,2,2,0,0,59.1,10.5,55.4,66.8,32.4,0
DS,5.75,56.9,94.7,6.9,5.5,6.4,7.7,6.2,0,1,2,0,0,48.4,53.3,70.9,71.2,32.9,0
IT,7.65,80.8,73.4,9.4,4.7,6.9,6.5,5.1,2,2,1,1,0,63.7,45.7,76.4,46.8,55.7,1
ECE,7.93,77.3,73.5,5.6,5.3,5.5,7.5,6.1,1,3,0,1,1,55.8,54.0,61.9,65.9,40.0,0
MECH,5.72,83.3,77.7,6.8,2.8,4.6,5.4,4.3,1,4,1,3,1,61.0,38.7,63.5,26.6,32.6,0
CIVIL,6.7,77.9,68.7,4.3,8.9,6.5,5.8,10.0,1,3,1,1,0,59.1,60.6,43.9,92.6,42.9,0
CSE,5.72,88.0,87.8,5.3,2.5,4.4,6.0,4.3,2,1,2,2,0,59.6,30.7,55.5,30.6,33.1,0
MECH,6.21,68.8,68.7,2.9,6.0,9.8,7.7,8.1,0,3,3,0,1,67.4,68.3,50.1,56.8,27.3,0
IT,7.81,87.1,84.1,5.6,4.4,9.1,7.2,4.0,2,4,1,0,0,80.2,65.0,60.2,50.2,65.6,1
CSE,6.39,83.7,57.8,5.4,4.9,7.5,6.8,8.7,3,2,2,0,1,72.2,65.2,49.6,52.1,42.6,0
IT,6.87,91.1,97.3,6.6,9.0,6.4,8.0,9.5,0,2,3,2,0,64.3,47.4,77.2,94.4,58.6,1
MECH,5.41,91.9,47.4,4.8,6.9,4.9,7.6,6.3,1,5,2,0,2,73.5,26.6,46.4,64.7,22.3,0
DS,7.41,66.6,61.2,6.2,4.8,6.2,6.6,6.1,0,3,3,3,0,75.5,50.7,48.2,48.9,48.0,0
CSE,7.15,84.2,100.0,5.3,5.4,9.3,5.4,3.6,0,4,1,0,0,61.9,72.0,58.3,59.3,50.4,1
ECE,6.4,64.0,76.3,5.3,5.1,7.9,5.8,3.3,0,3,0,2,1,56.9,60.4,61.5,40.9,35.5,0
MECH,6.99,91.9,66.4,6.2,6.4,6.6,4.8,6.1,2,1,1,1,1,56.8,39.0,61.9,55.7,37.0,0
ECE,7.4,67.8,58.4,6.1,6.8,8.0,7.2,8.4,1,2,2,1,0,65.6,51.6,63.7,68.8,46.8,0
IT,6.3,73.4,69.3,7.5,9.9,7.2,5.7,4.4,1,3,2,3,2,84.1,53.5,72.2,96.0,63.8,1
IT,5.58,80.6,78.8,5.8,3.1,7.0,6.3,9.9,1,2,4,2,0,71.4,48.2,57.0,33.1,53.9,1
CSE,9.19,86.9,81.3,5.3,6.4,8.1,6.8,4.3,1,2,2,2,0,70.6,59.9,49.6,69.5,57.9,1
MECH,6.5,82.5,79.2,5.6,5.9,7.2,8.6,6.0,1,0,1,1,1,48.8,64.1,50.4,61.4,17.2,0
MECH,7.09,87.2,51.8,4.6,8.2,7.8,8.4,6.0,2,4,3,3,0,81.4,54.1,54.8,88.4,78.7,1
ECE,8.31,78.1,76.8,5.3,7.1,6.5,6.9,5.3,1,4,1,1,4,79.2,44.8,63.9,73.1,38.4,0
AIML,10.0,80.9,79.4,10.0,7.6,5.7,8.9,1.4,1,2,3,2,0,93.0,41.5,89.5,70.3,75.6,1
IT,5.83,56.8,79.5,4.2,7.1,5.2,4.0,4.3,1,3,1,1,1,54.3,33.6,53.4,69.0,27.1,0
CIVIL,7.69,90.3,75.4,5.4,4.8,4.9,9.8,5.9,3,1,1,2,0,60.3,37.7,61.1,52.7,57.6,1
IT,6.42,74.5,59.0,5.2,8.7,3.2,8.0,5.3,2,2,1,1,0,57.5,33.4,47.2,82.1,41.9,0
EEE,6.61,72.8,63.0,5.5,7.9,4.5,7.2,6.8,0,2,4,1,1,65.7,33.4,57.4,69.5,41.4,0
AIML,6.41,100.0,90.8,5.3,8.1,4.4,5.7,7.0,1,3,2,1,0,63.7,37.4,55.0,71.9,46.0,0
CIVIL,5.96,45.5,64.9,6.6,8.8,5.2,6.3,5.0,0,2,1,1,1,55.4,23.3,59.4,80.2,29.7,0
IT,7.15,79.1,65.6,2.6,7.3,9.2,7.9,3.6,3,2,1,0,0,63.6,74.0,23.9,79.5,62.3,1
AIML,5.58,51.1,71.1,8.1,9.2,5.9,7.9,8.6,1,2,1,1,0,61.7,59.0,77.4,88.5,41.9,0
ECE,8.24,82.1,59.2,7.3,7.2,6.7,8.0,2.8,0,0,0,1,0,40.1,54.1,76.4,80.0,40.6,0
IT,7.26,69.6,83.2,3.5,6.1,6.7,5.9,4.3,1,4,0,2,2,55.4,54.8,37.7,54.7,32.8,0
CSE,7.66,42.8,58.5,1.5,6.5,9.2,5.6,3.8,1,0,3,1,1,58.1,76.0,44.2,59.8,36.0,0
ECE,6.69,91.1,89.1,4.0,6.5,5.1,7.3,7.0,1,2,3,1,0,74.2,53.4,49.8,62.0,38.1,0
ECE,6.8,62.5,57.5,5.5,5.6,5.8,8.2,8.1,0,2,4,0,1,65.5,57.0,45.4,56.5,37.6,0
DS,7.52,89.4,71.4,10.0,9.4,6.0,7.0,5.2,0,2,0,2,1,62.2,39.8,90.6,93.4,53.4,1
AIML,5.92,66.3,79.5,7.1,7.0,8.4,9.2,6.0,0,3,3,0,1,71.5,76.5,67.5,76.3,47.2,0
IT,6.81,72.4,85.3,2.4,6.7,8.8,7.0,6.4,0,2,1,2,0,49.8,81.0,34.0,74.6,44.4,0
IT,6.25,50.6,72.1,4.6,7.2,7.1,7.0,9.1,1,2,1,1,1,57.0,43.1,55.7,58.6,32.6,0
MECH,6.22,83.1,65.9,5.9,10.0,8.5,8.0,2.0,2,1,0,0,0,50.9,68.5,62.5,100.0,37.8,0
AIML,4.88,71.1,93.4,6.5,4.5,6.5,8.8,7.0,0,1,4,2,0,64.1,56.5,61.1,42.6,40.0,0
EEE,8.67,73.6,77.4,3.4,5.0,5.9,5.0,6.3,0,2,4,0,2,62.8,24.6,39.4,50.4,24.0,0
ECE,6.44,76.9,72.8,5.7,4.0,8.4,5.3,4.8,2,4,3,0,1,73.9,62.1,68.0,47.2,60.5,1
CSE,8.48,58.2,51.4,4.6,6.1,7.1,6.5,6.2,2,1,0,0,1,68.4,51.3,56.0,65.1,48.4,0
IT,8.38,86.3,77.5,3.8,6.9,4.8,10.0,7.0,1,3,3,3,0,75.9,33.3,44.3,79.2,60.5,1
IT,5.79,71.2,74.9,6.5,5.7,8.1,6.6,6.7,0,3,2,2,1,52.0,73.1,77.9,63.7,40.3,0
ECE,6.0,100.0,57.4,7.5,5.5,5.8,6.8,9.8,2,2,0,2,0,51.9,46.0,71.4,59.1,45.5,0
CSE,10.0,72.2,64.8,7.7,6.8,5.6,7.9,5.8,0,3,1,0,1,65.0,47.9,70.1,73.2,45.8,0
IT,9.13,73.3,76.2,7.1,5.6,7.9,8.5,5.6,3,3,2,0,0,100.0,63.9,71.9,51.4,81.6,1
CSE,7.17,61.7,81.1,5.0,7.1,6.0,7.3,5.1,2,3,3,1,0,77.3,68.0,46.4,66.5,55.7,1
IT,7.48,58.6,61.8,7.4,8.5,6.9,8.7,6.6,1,4,3,1,3,79.2,63.5,67.5,79.5,65.9,1
DS,6.51,88.5,61.9,6.6,7.7,7.5,5.2,5.4,0,2,2,1,0,65.4,59.5,73.0,60.5,41.8,0
EEE,7.68,90.7,76.5,6.3,8.1,4.7,5.9,5.5,0,1,2,1,1,58.5,35.6,65.4,73.0,27.7,0
CSE,6.41,71.2,64.1,4.8,8.5,6.9,8.7,5.5,3,2,2,0,0,69.6,49.9,33.6,78.6,53.9,1
IT,4.96,79.5,72.4,5.0,7.0,8.8,7.0,5.2,2,1,3,0,1,66.2,62.3,64.2,64.5,45.9,0
IT,5.75,92.9,98.1,6.1,6.2,4.4,5.1,4.3,1,2,1,1,0,57.3,25.5,55.1,65.0,44.5,0
MECH,7.22,81.5,74.4,10.0,5.1,7.1,5.0,6.3,0,4,2,0,0,77.9,64.3,89.7,46.4,54.8,1
DS,5.96,83.8,88.3,6.6,5.8,4.6,5.8,4.9,1,2,1,2,0,54.7,29.8,59.8,63.0,35.4,0
CSE,7.13,79.0,58.8,4.8,5.6,8.1,7.0,6.7,3,2,1,2,2,64.6,70.3,45.7,47.6,48.3,0
MECH,6.02,70.2,65.0,4.3,7.8,8.1,7.7,5.7,2,2,0,2,0,47.7,61.0,49.8,74.1,37.8,0
IT,6.34,82.6,64.7,5.0,7.1,5.5,6.5,4.7,0,2,2,0,0,53.9,38.2,64.6,68.3,25.1,0
AIML,8.14,100.0,60.6,10.0,7.8,10.0,7.6,8.6,1,1,0,0,1,62.6,77.4,89.2,84.5,50.3,1
CSE,7.47,71.8,52.0,5.2,4.4,8.3,6.3,5.3,0,4,4,1,0,78.7,80.8,62.5,46.4,64.9,1
IT,7.19,88.4,77.5,7.8,9.1,7.5,8.8,6.7,3,5,2,1,2,90.3,84.6,84.4,92.3,74.7,1
MECH,8.17,80.2,80.0,5.2,5.7,7.4,10.0,4.1,1,2,4,2,0,83.6,56.6,60.9,55.0,52.0,1
ECE,7.73,70.9,62.7,6.5,4.5,8.1,6.4,1.4,2,1,1,2,0,58.3,60.9,79.1,52.2,49.4,0
CSE,8.79,88.7,65.3,7.6,5.7,4.3,7.7,4.4,0,3,2,0,0,74.4,42.1,76.2,58.8,55.1,1
AIML,6.69,87.3,76.0,4.9,10.0,6.6,7.6,1.2,0,4,4,3,2,67.9,53.8,56.7,87.1,56.7,1
CSE,6.73,85.0,75.3,4.7,5.8,6.9,7.2,5.0,1,4,1,0,1,62.1,50.2,58.9,63.6,40.5,0
ECE,5.77,99.0,88.4,9.3,5.9,5.4,8.0,8.4,2,3,0,2,1,61.1,47.4,92.4,63.0,56.3,1
ECE,6.73,100.0,89.7,8.0,6.2,7.1,7.7,3.7,0,2,2,1,1,59.0,62.8,75.5,61.0,50.1,1
AIML,8.26,78.6,66.3,7.6,6.2,8.5,6.3,1.3,1,3,1,1,3,65.9,66.4,82.1,60.3,34.9,0
CIVIL,8.63,76.7,74.1,7.6,5.1,5.4,9.0,8.5,1,0,1,1,2,55.7,41.5,69.5,48.4,31.0,0
IT,8.26,60.9,62.0,6.9,6.8,6.1,7.3,4.5,2,3,4,2,3,95.7,62.5,58.2,75.1,65.3,1
ECE,5.23,96.4,94.5,10.0,8.4,4.6,6.4,5.5,1,3,3,1,0,67.0,30.6,100.0,86.7,57.6,1
CIVIL,8.39,77.1,78.5,6.1,7.1,2.8,10.0,7.1,0,3,2,2,0,71.0,18.1,50.4,67.2,46.9,0
MECH,5.18,70.7,87.9,7.2,4.5,7.7,6.8,6.5,1,3,0,0,0,57.3,57.7,80.3,47.6,49.1,0
IT,8.19,66.8,70.3,3.1,5.9,6.2,7.4,7.0,2,3,1,2,2,71.6,62.8,40.8,56.0,37.4,0
AIML,6.8,66.7,88.3,4.4,5.5,6.3,7.3,7.3,2,3,1,3,2,64.7,34.5,41.1,49.2,26.5,0
CSE,7.97,99.1,84.7,3.6,6.6,4.3,6.8,2.0,1,1,2,1,1,53.6,41.2,32.0,75.5,19.7,0
CIVIL,5.73,88.8,91.6,8.5,8.9,5.8,7.7,2.7,3,4,2,3,0,76.3,46.5,82.9,85.6,80.2,1
CSE,8.49,60.1,57.5,0.9,6.2,8.3,5.7,7.8,0,3,0,0,0,41.8,80.8,26.5,56.8,29.0,0
MECH,5.59,60.6,76.0,5.2,6.3,6.2,7.9,3.9,1,3,4,2,1,64.9,52.5,51.3,57.8,36.5,0
ECE,6.46,79.5,89.3,0.0,9.7,6.3,4.4,4.2,2,2,2,0,0,57.3,32.8,1.5,90.2,35.1,0
ECE,6.1,65.8,62.8,4.3,8.1,6.6,5.1,3.0,0,4,0,1,1,42.0,65.6,53.5,65.0,26.1,0
ECE,5.27,75.0,81.8,5.0,7.5,3.9,9.7,4.7,3,2,2,1,0,66.1,28.9,27.4,76.6,40.7,0
CIVIL,7.3,96.6,82.4,8.8,10.0,7.4,5.1,4.8,1,3,0,1,0,65.0,42.8,87.4,100.0,51.9,1
ECE,9.19,90.8,84.1,6.8,7.4,3.8,4.1,3.6,1,5,2,1,3,84.8,27.3,69.9,76.1,55.1,1
IT,10.0,57.5,79.3,4.3,2.9,4.4,5.2,3.4,0,4,2,0,0,73.3,35.6,30.6,34.4,44.2,0
EEE,7.31,65.9,83.0,8.1,8.0,4.2,9.6,6.1,0,3,4,3,2,83.9,25.3,74.6,96.0,52.8,1
CSE,8.43,80.9,80.6,6.0,3.6,5.9,4.3,3.9,1,1,1,0,0,63.3,34.7,57.3,38.6,36.2,0
IT,7.46,91.6,90.4,6.1,7.3,5.5,5.6,4.3,1,5,0,1,0,71.5,46.6,61.0,65.9,53.8,1
ECE,7.75,68.1,65.7,3.6,3.4,6.2,4.8,1.1,0,5,0,2,2,56.3,39.6,48.0,40.6,23.6,0
EEE,6.82,82.4,79.4,4.0,5.7,4.5,6.6,9.4,2,1,0,2,1,55.3,27.6,31.7,58.3,16.5,0
CIVIL,7.41,72.5,90.8,4.3,5.8,8.1,6.3,7.4,0,2,3,1,2,62.9,75.7,49.5,59.2,34.5,0
ECE,7.79,99.0,64.8,6.1,5.1,7.8,6.3,4.5,2,2,2,1,1,74.4,59.6,63.2,54.1,55.9,1
CSE,6.56,85.5,66.0,6.2,5.9,5.9,9.8,3.7,0,1,4,1,1,60.6,37.2,47.3,60.3,31.3,0
ECE,7.11,75.7,81.8,9.1,8.4,5.3,5.2,5.5,1,1,1,1,3,62.8,35.2,87.3,91.6,41.7,0
AIML,7.14,60.1,93.0,6.8,5.2,5.1,6.8,5.5,1,2,3,1,0,81.6,43.9,75.8,44.0,42.2,0
CIVIL,8.11,65.3,73.3,0.6,7.5,5.6,7.5,2.9,1,5,0,1,0,62.6,48.3,20.6,79.7,50.5,1
CIVIL,6.03,47.7,76.2,6.5,4.8,3.5,5.5,0.4,2,0,4,1,0,77.7,33.6,60.2,49.2,50.6,1
CIVIL,7.14,81.3,79.7,3.1,6.2,4.4,7.7,4.4,3,4,0,1,2,59.3,41.4,39.8,65.9,33.1,0
CSE,9.3,86.0,68.7,4.1,7.1,7.8,6.4,2.4,1,4,3,1,1,82.7,65.3,44.0,67.9,56.8,1
EEE,8.48,86.6,100.0,4.4,4.7,6.8,7.6,5.8,1,4,1,1,0,73.8,59.1,42.4,59.0,49.4,0
IT,8.68,70.6,63.0,4.7,4.1,9.3,6.8,5.9,1,2,1,0,0,65.0,70.6,59.6,49.4,54.1,1
CSE,7.23,93.4,76.2,3.2,7.4,5.6,3.9,3.6,3,2,2,2,0,74.0,36.1,38.9,65.8,52.7,1
ECE,7.55,97.0,76.4,6.4,8.5,5.5,9.0,4.4,2,2,3,2,2,76.1,55.0,64.5,92.4,60.4,1
ECE,8.3,70.0,46.6,3.2,6.4,5.4,10.0,9.0,1,4,3,0,2,82.6,50.4,30.3,69.0,41.8,0
EEE,8.92,92.2,64.0,6.7,5.7,5.6,6.7,7.1,1,2,1,2,2,60.1,42.5,54.4,54.3,45.7,0
DS,5.05,79.7,57.4,10.0,6.8,4.9,5.7,4.6,0,1,1,1,1,48.5,34.3,82.6,56.5,29.0,0
CSE,5.75,71.7,84.4,3.3,6.6,6.7,9.3,10.0,2,2,1,0,0,55.3,72.0,34.2,73.3,35.0,0
MECH,8.64,92.8,53.0,5.4,6.9,6.3,9.8,3.1,2,2,3,0,1,77.6,42.8,41.7,67.9,63.8,1
CSE,6.9,63.5,87.2,1.0,1.9,5.2,6.7,3.9,3,5,0,0,0,67.6,43.7,21.4,27.4,33.5,0
DS,6.46,60.2,59.7,5.4,4.6,8.6,6.7,5.3,1,3,4,2,1,64.8,63.3,51.3,56.6,56.4,1
CSE,5.82,73.2,87.5,7.3,5.0,9.8,6.9,2.4,1,3,2,0,0,59.4,75.1,68.5,46.8,50.8,1
EEE,6.59,75.3,56.8,7.4,6.8,8.4,4.5,9.1,1,1,2,0,0,67.6,61.3,74.5,73.5,48.8,0
IT,5.66,58.3,80.5,6.2,6.8,7.3,6.6,5.9,1,4,3,0,0,73.2,40.8,57.4,61.2,64.4,1
IT,9.5,83.9,87.2,7.8,7.6,7.6,9.6,3.9,1,2,2,0,3,75.7,64.3,66.5,87.3,56.5,1
EEE,7.18,68.6,82.5,10.0,7.0,9.7,6.7,6.4,2,4,1,1,0,86.6,83.1,89.2,80.3,87.3,1
ECE,7.14,62.3,59.1,9.4,4.2,7.6,5.4,5.8,0,2,1,1,1,67.3,55.8,94.4,48.3,33.2,0
ECE,7.85,85.8,89.7,5.0,9.1,5.1,7.7,4.9,0,3,1,0,0,67.3,61.6,47.5,92.3,47.3,0
ECE,8.26,72.8,82.1,3.1,8.8,6.9,6.0,3.1,2,2,2,1,0,59.8,57.8,28.1,90.4,53.9,1
CSE,8.24,90.7,44.3,5.2,4.2,7.4,6.9,2.6,3,1,0,0,2,72.3,60.5,66.5,43.0,47.9,0
EEE,8.38,83.5,76.4,4.1,7.1,4.3,5.1,9.9,1,2,2,1,0,59.9,37.6,36.5,61.0,39.4,0
ECE,6.51,75.6,100.0,6.9,5.4,5.7,5.4,2.8,2,1,1,0,0,62.3,40.5,70.2,49.9,38.3,0
ECE,6.87,91.2,89.5,3.6,6.7,8.3,8.1,8.9,2,2,3,1,0,72.8,58.5,44.9,82.6,59.9,1
CIVIL,8.05,83.0,68.5,5.9,8.4,2.7,7.2,3.8,1,3,2,0,1,79.9,15.8,53.0,75.8,36.7,0
DS,6.62,77.8,82.1,7.7,10.0,3.8,5.8,7.1,0,1,3,1,0,63.2,26.2,69.2,100.0,45.3,0
MECH,7.19,84.1,69.9,5.8,7.9,5.9,7.2,6.4,3,2,0,1,0,67.8,51.4,48.5,77.2,50.7,1
CSE,7.64,84.5,88.2,4.1,7.0,6.9,6.1,6.8,3,2,3,0,1,75.6,52.0,62.3,67.2,57.9,1
CSE,8.06,64.9,64.4,8.3,5.9,3.6,5.8,7.0,1,2,3,1,3,69.5,33.9,68.7,69.0,38.3,0
DS,5.24,100.0,90.7,2.2,6.8,6.0,8.7,2.3,0,1,0,1,0,25.1,37.6,35.6,70.8,19.1,0
ECE,7.99,78.8,87.0,5.3,8.9,8.4,8.2,4.1,2,2,4,1,1,89.7,62.0,54.0,94.3,74.6,1
CSE,6.94,79.1,83.4,5.9,6.4,6.3,7.0,2.8,2,2,1,0,1,64.8,44.9,52.3,79.1,35.0,0
MECH,7.98,56.9,100.0,6.0,4.9,8.0,7.2,5.9,0,2,1,1,0,65.3,33.3,73.8,50.1,36.4,0
CIVIL,8.05,79.5,88.1,6.4,3.6,5.1,7.0,2.9,0,3,1,0,1,58.4,36.9,71.9,42.1,27.3,0
CIVIL,8.97,80.1,88.3,7.2,7.4,4.7,7.7,1.5,3,1,0,1,0,76.2,29.0,70.3,78.8,55.1,1
ECE,8.69,64.2,89.6,5.9,6.9,7.8,5.8,5.0,0,4,3,0,2,78.5,66.2,68.7,66.4,61.9,1
CSE,8.68,65.5,84.3,5.3,5.3,6.9,8.3,1.1,0,4,1,2,0,72.7,61.1,47.1,59.3,49.0,0
DS,8.79,67.2,81.0,5.2,8.3,3.9,7.5,6.0,1,3,2,0,1,72.4,20.4,54.0,89.4,45.0,0
ECE,7.52,74.5,66.2,4.8,5.7,4.7,6.6,3.0,0,2,2,2,0,57.0,35.5,52.1,63.0,37.3,0
CIVIL,7.24,80.6,66.4,7.6,6.3,9.2,6.3,3.8,0,3,3,2,2,77.2,63.1,82.0,63.3,69.5,1
IT,8.16,75.3,80.6,4.7,6.5,4.4,8.3,0.9,1,3,1,3,0,54.6,38.1,58.1,49.2,44.5,0
MECH,8.01,81.6,82.9,7.7,5.9,8.0,6.8,8.8,0,2,2,2,2,64.7,58.3,61.5,50.9,56.4,1
ECE,6.86,86.1,75.2,6.0,6.9,5.3,6.0,2.6,2,2,0,3,3,51.2,38.1,57.6,79.3,30.2,0
ECE,7.65,84.5,68.7,5.0,8.6,6.2,6.4,4.8,1,1,2,2,0,60.3,47.8,62.4,77.8,54.6,1
MECH,7.16,82.4,73.2,7.2,4.4,6.8,8.2,1.9,0,1,4,0,2,65.0,56.4,63.6,55.2,31.6,0
AIML,6.26,81.4,74.3,4.5,7.4,2.2,4.6,3.8,1,3,0,1,1,55.1,18.1,45.3,63.6,24.5,0
AIML,8.62,81.5,78.6,7.3,6.8,3.4,6.5,9.0,0,4,0,0,0,67.4,30.5,61.7,62.0,39.8,0
CSE,7.26,76.2,72.1,6.4,6.8,6.4,8.6,6.1,0,2,2,1,0,58.5,56.7,64.8,73.7,48.7,0
CSE,9.45,70.1,90.2,4.8,8.1,4.8,6.7,4.1,2,1,0,1,2,58.6,37.5,40.7,88.7,44.4,0
AIML,5.41,76.9,73.6,7.1,6.6,8.1,7.4,5.4,0,0,1,2,0,41.2,56.5,88.5,70.6,35.3,0
IT,6.59,85.8,66.6,7.1,7.4,3.1,8.6,4.4,1,2,1,3,0,66.1,12.4,55.0,77.0,42.6,0
AIML,7.24,85.8,73.9,8.3,7.8,7.3,8.3,5.3,2,1,2,0,2,66.7,52.1,80.2,70.3,49.1,0
CSE,8.45,84.1,60.7,7.9,5.6,3.6,6.3,7.0,1,2,1,1,3,61.2,30.5,68.8,43.9,35.2,0
MECH,7.64,72.3,100.0,7.0,7.0,5.5,6.8,4.8,1,1,2,1,0,55.3,33.2,74.4,67.6,38.2,0
IT,7.54,75.4,83.5,3.7,6.0,4.2,8.4,5.9,2,3,2,1,0,64.0,42.0,38.8,63.7,58.5,1
CIVIL,5.96,75.4,74.8,10.0,6.3,9.8,8.4,6.0,2,3,2,1,2,77.8,70.1,88.6,64.4,66.8,1
EEE,5.93,70.7,93.4,3.2,5.9,3.7,6.9,4.8,2,4,4,2,2,71.1,28.3,28.3,73.4,40.7,0
CSE,7.55,88.7,72.3,7.9,7.3,6.0,6.9,4.0,1,3,2,2,1,72.1,59.6,60.0,63.8,60.9,1
MECH,5.7,55.9,74.6,6.9,6.6,2.9,7.4,4.4,3,1,1,0,0,65.8,21.9,61.2,65.4,31.4,0
ECE,6.61,100.0,65.8,3.7,7.2,9.2,9.1,6.9,2,3,1,0,1,52.1,65.2,60.2,84.0,42.2,0
EEE,7.75,100.0,62.8,5.8,6.5,7.0,8.6,7.1,1,1,2,2,1,67.4,35.6,58.5,70.7,46.6,0
DS,6.12,78.6,77.7,5.8,3.6,6.5,8.0,3.2,1,3,4,1,0,81.3,54.9,62.0,34.0,46.6,0
ECE,8.97,82.9,88.8,8.6,6.6,9.0,5.4,5.0,0,1,3,1,1,81.4,74.5,94.6,51.1,58.8,1
IT,8.55,88.2,63.6,4.6,6.6,6.5,6.6,4.0,1,0,1,3,0,61.7,56.4,44.7,63.8,45.6,0
CSE,5.47,68.9,71.9,5.5,6.9,6.6,6.7,7.1,0,2,3,0,1,67.9,53.8,64.7,63.0,34.1,0
CIVIL,6.17,84.8,72.4,1.3,5.4,6.5,9.1,4.6,0,1,2,1,0,42.5,47.3,36.9,55.3,17.3,0
